,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,normalized_valence,normalized_arousal
0,Acorns 1,Object,Pixabay,4.68627450980392,0.954202711685196,102,2.34653465346535,1.60272045949602,101,0.6648451730418945,0.16216216216216378
1,Acorns 2,Object,Pixabay,4.51960784313725,0.841149521760358,102,2.22772277227723,1.39915108632922,101,0.6338797814207646,0.13267813267813405
2,Acorns 3,Object,Pixabay,4.75490196078431,0.958921367116694,102,2.30693069306931,1.51487672275618,101,0.6775956284153003,0.15233415233415384
3,Alcohol 1,Object,Pixabay,4.68518518518519,1.18911062459953,108,2.86538461538462,1.69555496718665,104,0.6646427848613654,0.2909185409185428
4,Alcohol 2,Object,Pixabay,4.25,1.13668644522857,108,3.0,1.70094205765368,104,0.5837887067395269,0.3243243243243251
5,Alcohol 3,Object,Pixabay,4.16666666666667,0.952125021241836,108,2.34615384615385,1.3848643042371,104,0.5683060109289627,0.16206766206766376
6,Alcohol 4,Object,Pixabay,4.76851851851852,1.17295442527236,108,2.86538461538462,1.64911092438503,104,0.6801254806719295,0.2909185409185428
7,Alcohol 5,Object,Pixabay,5.33333333333333,1.1286839206524,102,3.55445544554455,1.60296754505356,101,0.785063752276867,0.46191646191646163
8,Alcohol 6,Object,Pixabay,4.53703703703704,1.04502314892686,108,2.64423076923077,1.63052358754159,104,0.6371179923092501,0.23603761103761203
9,Alcohol 7,Object,Pixabay,4.47524752475248,1.15407156975588,101,3.12621359223301,1.65493683103477,103,0.6256379736334303,0.3556451420529099
10,Alcohol 8,Object,Pixabay,5.47524752475248,1.1008547534161,101,3.79611650485437,1.76212451598148,103,0.8114303233602063,0.5218864053815521
11,Ambulance 1,Object,Pixabay,2.33333333333333,1.06779535299975,108,4.16346153846154,1.80673269939137,104,0.2276867030965389,0.6130457380457391
12,Ambulance 2,Object,Pixabay,3.17821782178218,1.07141065520145,101,3.41176470588235,1.72548137164401,102,0.38465977745315594,0.4265067206243678
13,Ambulance 3,Object,Pixabay,3.28712871287129,1.09851384755374,101,3.61165048543689,1.78354686118803,103,0.40489458781943866,0.4761098256243887
14,Angry face 1,Person,Pixabay,3.38235294117647,0.954863710632231,102,3.25742574257426,1.48090151830927,101,0.422586520947177,0.3882063882063896
15,Angry face 2,Person,Wikipedia,3.07843137254902,1.04062314261533,102,3.53465346534653,1.68264289993833,101,0.3661202185792355,0.45700245700245656
16,Angry face 3,Person,Wikipedia,2.5,1.06007658979794,102,3.66336633663366,1.79040346136156,101,0.25865209471766887,0.4889434889434889
17,Angry face 4,Person,Flickr/Jan Tik,2.49019607843137,1.14100093316764,102,3.87128712871287,1.85829688874859,101,0.25683060109289607,0.540540540540541
18,Angry face 5,Person,Flickr/Bart,2.85294117647059,1.02828376504544,102,3.55445544554455,1.75769876557249,101,0.3242258652094725,0.46191646191646163
19,Angry pose 1,Person,Pixabay,2.81481481481481,1.04253598201557,108,3.61538461538462,1.79160768670543,104,0.3171422788909123,0.47703647703647895
20,Angry pose 2,Person,Flickr/madstreetz,2.80555555555556,0.999610516051438,108,3.72115384615385,1.7706163194941,104,0.31542197935640676,0.50328387828388
21,Animal carcass 1,Animal,Wikipedia,2.72222222222222,1.2367679716003,108,3.76923076923077,2.0537948263999,104,0.29993928354584093,0.5152145152145161
22,Animal carcass 2,Animal,Wikipedia,3.25490196078431,1.39792119007456,102,4.02970297029703,1.68793036316404,101,0.3989071038251364,0.5798525798525805
23,Animal carcass 3,Animal,Wikipedia,2.75,1.36117733536735,108,4.42307692307692,2.02744426469696,104,0.30510018214936285,0.6774711774711774
24,Animal carcass 4,Animal,Wikipedia,3.79411764705882,1.3667786460178,102,4.1980198019802,1.61876373804331,101,0.4990892531876136,0.6216216216216228
25,Animal carcass 5,Animal,Wikipedia,1.61764705882353,1.04402228312643,102,4.47524752475248,2.27417703535121,101,0.0947176684881608,0.6904176904176923
26,Animal carcass 6,Animal,Wikipedia,2.39814814814815,1.47210710966729,108,4.72115384615385,2.17423898423508,104,0.2397287998380902,0.7514411264411281
27,Archery 1,Person,Pixabay,4.29411764705882,1.27883173243532,102,3.75247524752475,1.54535394388509,101,0.5919854280510016,0.5110565110565113
28,Archery 2,Person,Pixabay,4.81372549019608,0.972191483368331,102,3.45544554455446,1.62803410575607,101,0.6885245901639352,0.43734643734643924
29,Astronaut 1,Person,Pixabay,5.71296296296296,1.08559752206969,108,4.56730769230769,1.77230267132203,104,0.8555960331916616,0.7132630882630884
30,Astronaut 2,Person,Pixabay,5.13725490196078,1.15217586396799,102,3.67326732673267,1.59442096631404,101,0.7486338797814205,0.49140049140049136
31,Baby 1,Person,Pixabay,6.17592592592593,0.993706398126079,108,4.08653846153846,1.76871725183901,104,0.9416110099170221,0.5939567189567193
